                                                                         LISTAS DE REPRODUCCION DE SPOTIFY
                             ARTISTA                             CANCION                      REPRODUCCIONES                            BAILABLE
                      Jennifer Lopez                          All I Have                              254466                               0.701
                      Jennifer Lopez                      Ain't It Funny                              246160                               0.707
                      Jennifer Lopez                            I'm Real                              262133                               0.708
                      Jennifer Lopez             Love Don't Cost a Thing                              221226                               0.786
                             Jeremih                        Birthday Sex                              226506                               0.677
                             Jeremih                      Don't Tell 'Em                              266840                               0.856
                             Jeremih                                 oui                              238320                               0.418
                             Jeremih                          Down On Me                              228453                                 0.7
                     Jessica Simpson                            With You                              191826                               0.553
                     Jessica Simpson                        Irresistible                              194026                               0.657
                            Jessie J                   Do It Like A Dude                              195240                               0.663
                            Jessie J                           Price Tag                              223053                               0.636
                            Jessie J                           Bang Bang                              199386                               0.706
                            Jessie J                              Domino                              231840                               0.758
                               Jibbs                      Chain Hang Low                              207586                               0.792
                           Jim Jones                         We Fly High                              236080                               0.685
                     Jimmy Eat World                          The Middle                              165853                               0.643
                                JoJo                               Leave                              242746                               0.656
                                JoJo                 Too Little Too Late                              223680                               0.535
                                 Joe                        I Wanna Know                              296693                               0.725
                                 Joe                             Stutter                              213026                               0.767
                          Joel Adams                     Please Don't Go                              210580                               0.513
                          Joel Corry                               Sorry                              188640                               0.744
                         John Legend                         Green Light                              284186                               0.622
                         John Legend                           All of Me                              269560                               0.422
                         John Newman                       Love Me Again                              239894                               0.495
                         Jon Bellion                        All Time Low                              217603                               0.617
                          Jonas Blue                                Rise                              194407                               0.687
                          Jonas Blue                   Perfect Strangers                              196613                               0.742
                          Jonas Blue                            Fast Car                              212424                               0.459
                          Jonas Blue                            Fast Car                              212424                               0.644
                          Jonas Blue                                Mama                              181614                               0.739
                      Jonas Brothers                          Burnin' Up                              175093                               0.667
                      Jonas Brothers                              Sucker                              181026                               0.842
                      Jonas Brothers                          Only Human                              183000                               0.795
                       Jordin Sparks                         Battlefield                              241920                               0.613
                       Jordin Sparks                              Tattoo                              233466                               0.566
                       Jordin Sparks                  One Step At a Time                              205160                               0.766
                              Juanes                     La Camisa Negra                              216706                               0.751
                          Juice WRLD                             Robbery                              240050                               0.685
                          Juice WRLD                        Lucid Dreams                              239835                               0.511
                       Junior Senior                      Move Your Feet                              181826                               0.747
                           Just Jack                 Starz In Their Eyes                              295933                                0.67
                       Justin Bieber                               Sorry                              200786                               0.654
                       Justin Bieber                   Beauty And A Beat                              227986                               0.602
                       Justin Bieber                           Boyfriend                              171333                               0.717
                       Justin Bieber                       Love Yourself                              233720                               0.609
                       Justin Bieber                            One Time                              215866                               0.691
                       Justin Bieber                             Friends                              189466                               0.744
                       Justin Bieber                   What Do You Mean?                              205680                               0.845
                       Justin Bieber                                Baby                              214240                               0.728
                       Justin Bieber              As Long As You Love Me                              229466                               0.571
                       Justin Bieber                               Sorry                              200786                               0.654
                   Justin Timberlake             CAN'T STOP THE FEELING!                              236001                               0.666
                   Justin Timberlake                      Cry Me a River                              288333                               0.624
                   Justin Timberlake                          LoveStoned                              444333                               0.859
                   Justin Timberlake                             My Love                              276160                               0.771
                   Justin Timberlake What Goes Around.../...Comes Around                              448573                               0.687
                   Justin Timberlake                      Rock Your Body                              267266                               0.892
                   Justin Timberlake                            SexyBack                              242733                               0.967
                   Justin Timberlake                          Suit & Tie                              326280                               0.795
                   Justin Timberlake                     Like I Love You                              283626                               0.853
                   Justin Timberlake                             Mirrors                              484146                               0.574
                   Justin Timberlake                         Summer Love                              252973                               0.606
                   Justin Timberlake                             My Love                              276160                               0.771
                                   K                               Crazy                              262773                                0.68
                              K'NAAN                         Wavin' Flag                              220520                               0.625
                               KALEO                      Way down We Go                              219560                                0.59
                         KT Tunstall     Black Horse And The Cherry Tree                              172373                               0.748
                         KT Tunstall                      Suddenly I See                              201706                               0.587
                       Kaiser Chiefs                                Ruby                              204200                               0.451
                       Kaiser Chiefs   Everyday I Love You Less And Less                              217706                                0.49
                       Kaiser Chiefs                    I Predict A Riot                              233186                               0.395
                               Kandi                 Don't Think I'm Not                              243533                               0.859
                          Kanye West                      Black Skinhead                              188013                               0.578
                          Kanye West                    Through The Wire                              221226                               0.571
                          Kanye West                         Gold Digger                              207626                               0.629
                          Kanye West                           Good Life                              207000                               0.439
                          Kanye West                   All Of The Lights                              299613                               0.531
                          Kanye West                          Homecoming                              203493                               0.667
                          Kanye West               Can't Tell Me Nothing                              271600                               0.596
                          Kanye West                               Mercy                              329320                               0.563
                          Kanye West                       Love Lockdown                              270306                                0.76
                          Kanye West                         Jesus Walks                              193733                               0.637
                          Kanye West                       Love Lockdown                              270306                                0.76
                          Kanye West                      All Falls Down                              223506                               0.657
                          Kanye West                            Stronger                              311866                               0.617
                          Kanye West                           Heartless                              211000                                0.79
                          Kanye West                     Flashing Lights                              237506                               0.639
                          Kanye West                       Touch The Sky                              236600                               0.552
                          Kanye West          Diamonds From Sierra Leone                              233400                               0.672
                  Kardinal Offishall                           Dangerous                              246053                               0.949
                            Kasabian                                Fire                              252279                               0.525
                         Katie Melua               Nine Million Bicycles                              197160                               0.534
                         Katie Melua          The Closest Thing to Crazy                              252466                               0.562
                          Katy Perry                                Roar                              223546                               0.554
                          Katy Perry                     I Kissed A Girl                              179640                               0.699
                          Katy Perry                   Last Friday Night                              230746                               0.649
                          Katy Perry               Chained To The Rhythm                              237733                               0.562
                          Katy Perry                          Wide Awake                              220946                               0.514
                          Katy Perry                   This Is How We Do                              204285                                0.69
                          Katy Perry                            Firework                              227893                               0.638
                          Katy Perry                          Hot N Cold                              220226                               0.706
                          Katy Perry                          Dark Horse                              215672                               0.647
                          Katy Perry                                E.T.                              229573                                0.62
                          Katy Perry                       Teenage Dream                              227741                               0.719
                          Katy Perry                     Unconditionally                              228878                               0.555
                          Katy Perry                          Part Of Me                              216160                               0.678
                          Katy Perry                  Waking Up In Vegas                              199186                               0.524
                          Katy Perry                    California Gurls                              234653                               0.791
                          Katy Perry               The One That Got Away                              227333                               0.687
                               Keane                   Is It Any Wonder?                              186173                               0.489
                             Kehlani                    Nights Like This                              201787                                0.61
                               Kelis                               Bossy                              273973                               0.906
                               Kelis                            Trick Me                              206106                                0.97
                               Kelis                           Milkshake                              182626                               0.881
                               Kelis                         Millionaire                              224933                                0.68
                      Kelly Clarkson             Behind These Hazel Eyes                              198973                               0.548
                      Kelly Clarkson      My Life Would Suck Without You                              211493                               0.526
                      Kelly Clarkson                        Already Gone                              281560                               0.209
                      Kelly Clarkson                      Because of You                              219493                               0.587
                      Kelly Clarkson                            Stronger                              221946                               0.562
                      Kelly Clarkson                   Since U Been Gone                              188960                               0.662
                      Kelly Clarkson                    Miss Independent                              214773                               0.656
                       Kelly Rowland                                Work                              207920                               0.888
                       Kelly Rowland                           Commander                              218106                               0.395
                       Kelly Rowland                          Motivation                              230560                               0.744
                       Kelly Rowland                               Stole                              249293                               0.649
                      Kendrick Lamar                             HUMBLE.                              177000                               0.906
                      Kendrick Lamar                      Swimming Pools                              313786                               0.716
                      Kendrick Lamar                       All The Stars                              232186                               0.698
                      Kendrick Lamar                                DNA.                              185946                               0.636
                      Kendrick Lamar                 LOVE. FEAT. ZACARI.                              213400                                 0.8
                      Kendrick Lamar                        m.A.A.d city                              350120                               0.487
                          Kent Jones                          Don't Mind                              198236                               0.464
                         Keri Hilson                      Knock You Down                              326186                               0.588
                         Keri Hilson                        Turnin Me On                              248066                               0.661
                         Keri Hilson                    Pretty Girl Rock                              243920                               0.666
                               Kesha                                Blow                              219973                               0.753
                               Kesha                               C'Mon                              214333                               0.558
                               Kesha                         Take It Off                              215200                               0.729
                               Kesha                       We R Who We R                              204760                               0.736
                               Kesha                Your Love Is My Drug                              187133                               0.826
                               Kesha                      Blah Blah Blah                              172053                               0.752
                               Kesha                             TiK ToK                              199693                               0.755
                               Kesha                           Die Young                              211920                               0.711
                         Kevin Gates                            2 Phones                              240000                               0.895
                        Kevin Lyttle                          Turn Me On                              192106                               0.677
                        Kevin Rudolf                         Let It Rock                              231173                               0.607
                        Keyshia Cole                                Love                              255333                               0.688
                        Keyshia Cole                          Last Night                              255706                               0.918
                        Keyshia Cole                           Let It Go                              238360                               0.808
                              Khalid                           Love Lies                              201707                               0.708
                              Khalid                              Better                              229412                               0.442
                                Khia                   My Neck - My Back                              222560                               0.859
                            Kid Cudi                        Day 'N' Nite                              221240                                0.88
                             Kid Ink                             Show Me                              217800                               0.711
                              Kiesza                            Hideaway                              251986                               0.838
                              Kiiara                                Gold                              225882                                 0.6
                       Kings of Leon                         Sex on Fire                              203346                               0.542
                       Kings of Leon                         Sex on Fire                              203346                               0.542
                      Klangkarussell                          Sonnentanz                              238120                               0.579
                             Klaxons                        Golden Skans                              165120                               0.463
                           Klingande                               Jubel                              201626                               0.686
                         Kodak Black                                ZEZE                              228759                               0.861
                         Kodak Black                       Tunnel Vision                              268186                               0.497
                          Kris Allen               Live Like We're Dying                              212506                               0.589
                               Kungs                           This Girl                              195561                                0.79
                                Kygo                      Stole the Show                              222813                               0.678
                                Kygo                         It Ain't Me                              220780                                0.64
                                Kygo                           Firestone                              271640                               0.704
                                Kygo                      Stole the Show                              223186                                0.64
                       Kylie Minogue                                 Wow                              190973                               0.654
                       Kylie Minogue                        In Your Eyes                              197826                               0.689
                       Kylie Minogue        Can't Get You out of My Head                              230640                               0.766
                       Kylie Minogue                    I Believe in You                              200973                               0.548
                       Kylie Minogue                     Spinning Around                              207866                               0.761
                       Kylie Minogue                 Love at First Sight                              238266                               0.603
                       Kylie Minogue                     Spinning Around                              207866                               0.761
                           LL Cool J                        Luv U Better                              287000                               0.668
                           LL Cool J                      Control Myself                              233973                               0.825
                           LL Cool J                          Headsprung                              267320                               0.718
                                 LMC         Take Me To The Clouds Above                              171546                               0.668
                               LMFAO                  Sexy And I Know It                              199480                               0.707
                               LMFAO                  Sexy And I Know It                              199480                               0.707
                               LMFAO                   Party Rock Anthem                              262146                               0.751
                             La Roux                     In For The Kill                              248626                               0.629
                             La Roux                         Bulletproof                              205733                               0.674
                            Labrinth                          Earthquake                              274600                                0.54
                              Lady A                         Just A Kiss                              218840                               0.593
                              Lady A                        Need You Now                              236440                               0.581
                           Lady Gaga                           Alejandro                              274213                               0.623
                           Lady Gaga                   The Edge Of Glory                              320546                               0.583
                           Lady Gaga                           Telephone                              220640                               0.824
                           Lady Gaga                           Paparazzi                              208306                               0.762
                           Lady Gaga                          Poker Face                              237200                               0.851
                           Lady Gaga                         Bad Romance                              294573                               0.696
                           Lady Gaga                       Born This Way                              260253                               0.587
                           Lady Gaga                             Shallow                              215733                               0.572
                           Lady Gaga                          Just Dance                              241933                               0.822
                           Lady Gaga                            LoveGame                              216333                               0.894
                           Lady Gaga                         Bad Romance                              294573                               0.696
                        Lana Del Rey                          Doin' Time                              202192                               0.641
                        Lana Del Rey                         Born To Die                              286253                                0.18
                        Lana Del Rey                       Lust for Life                              264011                               0.499
                        Lana Del Rey                                Ride                              289080                               0.373
                        Lana Del Rey                  Summertime Sadness                              214912                               0.572
                        Lana Del Rey                   High By The Beach                              257573                               0.536
                         Las Ketchup                    The Ketchup Song                              213973                               0.607
                               Lasgo                           Something                              220973                               0.643
                                Lauv                     i'm so tired...                              162582                               0.599
                                Lauv                    I Like Me Better                              197436                               0.752
                         LeAnn Rimes           Can't Fight The Moonlight                              215506                               0.628
                         LeAnn Rimes                          I Need You                              229826                               0.478
                            Lemaitre                              Closer                              270589                               0.583
                               Lemar              If There's Any Justice                              229080                               0.706
                       Lenny Kravitz                               Again                              231666                                0.55
                         Leona Lewis                      Better in Time                              234173                               0.584
                         Leona Lewis                       Bleeding Love                              262466                               0.638
                         Leona Lewis                                 Run                              314720                               0.285
                         Leona Lewis                  A Moment Like This                              257293                               0.261
                       Lewis Capaldi                   Someone You Loved                              182160                               0.501
                          Liam Payne                     Strip That Down                              204502                               0.869
                          Liam Payne                             For You                              245453                               0.541
                           Liberty X                       Just A Little                              237359                               0.786
                           Lifehouse                 Hanging By A Moment                              216360                               0.537
                            Lil Baby                          Yes Indeed                              142273                               0.963
                           Lil Dicky                       Freaky Friday                              216631                               0.755
                             Lil Jon                     Snap Yo Fingers                              274386                               0.835
        Lil Jon & The East Side Boyz                  Lovers And Friends                              260600                               0.675
        Lil Jon & The East Side Boyz                             Get Low                              324600                                0.78
                           Lil Nas X                       Old Town Road                              113000                               0.907
                           Lil Nas X                       Old Town Road                              157066                               0.878
                           Lil Nas X                              Panini                              114893                               0.703
                            Lil Peep                      Save That Shit                              231546                               0.534
                            Lil Pump                          Gucci Gang                              124055                               0.936
                           Lil Tecca                              Ransom                              131240                               0.745
                        Lil Uzi Vert                       XO Tour Llif3                              182706                               0.732
                           Lil Wayne                           Got Money                              244626                               0.694
                           Lil Wayne                         How To Love                              240306                               0.644
                           Lil Wayne                       6 Foot 7 Foot                              248586                               0.364
                           Lil Wayne                     Sucker for Pain                              243490                               0.502
                           Lil Wayne                      Right Above It                              271946                               0.376
                           Lil Wayne                             Love Me                              255053                               0.669
                           Lil Wayne                             A Milli                              221840                               0.674
                           Lil Wayne                            Lollipop                              299333                               0.829
                           Lil' Flip                            Sunshine                              225173                               0.814
                            Lil' Kim                        The Jump Off                              234800                               0.853
                            Lil' Kim                         Magic Stick                              359973                               0.849
            Lilly Wood and The Prick                         Prayer in C                              189399                                0.76
                          Lily Allen                            The Fear                              207120                               0.661
                          Lily Allen                               Smile                              196893                               0.632
                          Lily Allen                            Not Fair                              201213                               0.719
                         Limp Bizkit                             Rollin'                              213760                               0.603
                         Limp Bizkit                  Take A Look Around                              321040                               0.425
                         Limp Bizkit                    Behind Blue Eyes                              269973                               0.595
                         Linkin Park                      What I've Done                              205613                               0.623
                         Linkin Park                  Breaking the Habit                              196906                               0.579
                         Linkin Park                          In the End                              216880                               0.556
                         Linkin Park                        Bleed It Out                              166373                               0.529
                         Linkin Park                        BURN IT DOWN                              230253                               0.585
                         Linkin Park                          New Divide                              268613                               0.493
                         Linkin Park                               Faint                              162600                               0.554
                         Linkin Park                                Numb                              185586                               0.496
                         Linkin Park                          In the End                              216880                               0.556
                          Little Mix                               Wings                              219733                               0.738
                          Little Mix                  Shout Out to My Ex                              246240                               0.773
                          Little Mix                         Black Magic                              211773                               0.777
                               Lloyd                           Southside                              277840                               0.688
                               Lloyd                                 You                              273133                               0.412
                               Lloyd                       Get It Shawty                              209533                               0.822
                         Lloyd Banks                             On Fire                              187280                               0.759
                               Logic                            Everyday                              204746                               0.667
                               Lorde                              Royals                              190185                               0.674
                               Lorde                                Team                              193058                                0.69
                               Lorde                                Team                              193058                               0.691
                               Lorde                   Homemade Dynamite                              214254                               0.781
                    Lost Frequencies                     Are You With Me                              138842                               0.776
                         Loud Luxury                                Body                              163216                               0.752
                             Lucenzo                        Danza Kuduro                              213986                               0.622
                            Ludacris                         Money Maker                              230613                               0.551
                            Ludacris                             How Low                              201586                               0.785
                            Ludacris                        Runaway Love                              280680                               0.405
                            Ludacris                            Get Back                              270746                               0.555
                            Ludacris                             Rollout                              296586                               0.921
                            Ludacris                            Stand Up                              213760                               0.751
                            Ludacris                Southern Hospitality                              300933                               0.623
                            Ludacris                        My Chick Bad                              216933                               0.624
                            Ludacris                   Splash Waterfalls                              290760                               0.734
                          Luis Fonsi                           Despacito                              228200                                0.66
                          Luis Fonsi                     Echame la culpa                              173720                               0.733
                             Lumidee                     Never Leave You                              184906                               0.811
                               Lunay                             Soltera                              266086                               0.795
                         Lupe Fiasco                           Superstar                              289000                               0.572
                         Lupe Fiasco                    The Show Goes On                              239613                               0.591
                            Lykke Li                     I Follow Rivers                              281106                               0.786
                              M.I.A.                        Paper Planes                              205200                               0.447
                                 M.O                            Bad Vibe                              214253                               0.813
                              M.O.P.                         Cold as Ice                              244466                               0.656
                                 M83                       Midnight City                              243960                               0.507
                              MAGIC!                                Rude                              224840                               0.773
                              MARINA            How to Be a Heartbreaker                              221493                                0.69
                              MARINA                          Primadonna                              221075                                0.66
                              MEDUZA                 Piece Of Your Heart                              152913                               0.677
                                MGMT                                Kids                              302840                               0.451
                                MGMT                     Little Dark Age                              299960                               0.705
                                MIKA                         Grace Kelly                              187733                               0.675
                                MIKA                          Love Today                              235173                               0.673
                                  MK                                  17                              196489                               0.703
                                MKTO                             Classic                              175426                                0.72
                                MNEK                    Never Forget You                              213427                               0.583
